"VersionEffective","PartNumber","PROPERTY","ValuePrior","ValueCurrent","ChangeReason"
"2.79","LP285293-9","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285294-7","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285295-4","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285296-2","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285297-0","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285298-8","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285299-6","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285300-2","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285301-0","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285302-8","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285303-6","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285305-1","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285306-9","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285307-7","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285308-5","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285309-3","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285310-1","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285311-9","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285312-7","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285313-5","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285316-8","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285317-6","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285318-4","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285319-2","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285320-0","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285321-8","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285322-6","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285323-4","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285324-2","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285325-9","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285326-7","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285327-5","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285328-3","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285329-1","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285330-9","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285331-7","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285332-5","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285333-3","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285334-1","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285336-6","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285337-4","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285338-2","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285339-0","STATUS","ACTIVE","INACTIVE",""
